ticket_id,created_at,status,brand_id,group_id,assignee_id,tem_advanced_ia,tem_welcome
2853455,2026-07-20T03:34,open,28331414811547,,50032929128731,False,False
2853438,2026-07-20T03:22,open,28331414811547,,50032929128731,False,False
2853427,2026-07-20T03:14,open,28331414811547,,50032929128731,False,False
2853354,2026-07-20T02:31,open,28331414811547,,50032929128731,False,False
2853334,2026-07-20T02:23,open,28331414811547,,50032929128731,False,False
2853329,2026-07-20T02:21,open,28331414811547,,50032929128731,False,False
2853263,2026-07-20T01:52,open,28331414811547,,50032929128731,False,False
2853124,2026-07-20T01:04,open,28331414811547,,50032929128731,False,False
2852917,2026-07-19T23:50,open,28331414811547,,50032929128731,False,False
2852901,2026-07-19T23:44,open,28331414811547,,50032929128731,False,False
2852872,2026-07-19T23:33,open,28331414811547,,50032929128731,False,False
2852622,2026-07-19T22:36,open,28331414811547,,50032929128731,False,False
2852558,2026-07-19T22:27,open,28331414811547,,50032929128731,False,False
2852429,2026-07-19T22:16,open,28331414811547,,50032929128731,False,False
2852419,2026-07-19T22:15,open,28331414811547,,50032929128731,False,False
2852250,2026-07-19T22:06,open,28331414811547,,50032929128731,False,False
2852076,2026-07-19T21:43,open,28331414811547,,50032929128731,False,False
2852006,2026-07-19T21:34,open,28331414811547,,50032929128731,False,False
2851915,2026-07-19T21:24,open,28331414811547,,50032929128731,False,False
2851885,2026-07-19T21:22,open,28331414811547,,50032929128731,False,False
2851818,2026-07-19T21:13,open,28331414811547,,50032929128731,False,False
2851812,2026-07-19T21:11,open,28331414811547,,50032929128731,False,False
2851800,2026-07-19T21:06,open,28331414811547,,50032929128731,False,False
2851721,2026-07-19T20:46,open,28331414811547,,50032929128731,False,False
2851696,2026-07-19T20:38,open,28331414811547,,50032929128731,False,False
2851623,2026-07-19T20:28,open,28331414811547,,50032929128731,False,False
2851310,2026-07-19T19:49,open,28331414811547,,50032929128731,False,False
2851297,2026-07-19T19:47,open,28331414811547,,50032929128731,False,False
2851278,2026-07-19T19:45,open,28331414811547,,50032929128731,False,False
