ticket_id,created_at_utc,status
2699859,2026-06-18T18:18:47Z,closed
2699866,2026-06-18T18:21:24Z,closed
2699876,2026-06-18T18:08:44Z,closed
2699882,2026-06-18T18:12:15Z,closed
2699887,2026-06-18T18:26:39Z,closed
2699891,2026-06-18T18:25:41Z,closed
2699893,2026-06-18T18:12:32Z,closed
2699900,2026-06-18T18:27:26Z,closed
2699903,2026-06-18T18:13:28Z,closed
2699910,2026-06-18T18:16:18Z,closed
2699912,2026-06-18T18:17:58Z,closed
2699923,2026-06-18T18:17:24Z,closed
2699936,2026-06-18T18:21:19Z,closed
2699937,2026-06-18T18:21:55Z,closed
2699938,2026-06-18T18:20:04Z,closed
2699941,2026-06-18T18:19:26Z,closed
2699944,2026-06-18T18:23:42Z,closed
2699945,2026-06-18T18:22:51Z,closed
2699958,2026-06-18T18:22:33Z,closed
2699960,2026-06-18T18:37:34Z,closed
2699963,2026-06-18T18:24:49Z,closed
2699964,2026-06-18T18:37:00Z,closed
2699965,2026-06-18T18:25:33Z,closed
2699971,2026-06-18T18:38:06Z,closed
2699975,2026-06-18T18:33:19Z,closed
2699976,2026-06-18T18:25:51Z,closed
2699981,2026-06-18T18:26:17Z,closed
2699985,2026-06-18T18:32:38Z,closed
2699988,2026-06-18T18:41:28Z,closed
2699991,2026-06-18T18:27:25Z,closed
2700001,2026-06-18T18:30:11Z,closed
2700005,2026-06-18T18:44:06Z,closed
2700016,2026-06-18T18:43:57Z,closed
2700025,2026-06-18T18:33:05Z,closed
2700028,2026-06-18T18:45:34Z,closed
2700035,2026-06-18T18:36:07Z,closed
2700039,2026-06-18T18:37:53Z,closed
2700044,2026-06-18T18:34:45Z,closed
2700045,2026-06-18T18:36:21Z,closed
2700048,2026-06-18T18:50:04Z,closed
2700057,2026-06-18T18:51:46Z,closed
2700059,2026-06-18T18:54:17Z,closed
2700068,2026-06-18T18:57:51Z,closed
2700069,2026-06-18T18:42:40Z,closed
2700073,2026-06-18T18:41:27Z,closed
2700074,2026-06-18T18:41:36Z,closed
2700090,2026-06-18T18:44:59Z,closed
2700103,2026-06-18T18:50:01Z,closed
2700104,2026-06-18T18:53:24Z,closed
2700112,2026-06-18T18:48:17Z,closed
